CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,DAMAGE,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE
6/1/2019 23:40,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6340,N,SHERIDAN RD,2433,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,23,7,6,41.99750753,-87.6557623
6/3/2019 13:10,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,1301,S,WESTERN AVE,1233,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,2,6,41.86474507,-87.68584046
6/2/2019 1:15,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",PHYSICAL CONDITION OF DRIVER,UNABLE TO DETERMINE,2909,W,FOSTER AVE,2031,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,1,6,41.97568612,-87.70170329
6/10/2019 10:45,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,1400,W,MARQUETTE RD,725,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,10,2,6,41.77237143,-87.65922967
6/14/2019 19:10,40,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5649,N,LAKE SHORE DR NB,2022,2,NONINCAPACITATING INJURY,1,0,0,1,0,3,0,19,6,6,41.98535896,-87.6529807
6/14/2019 13:18,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,4600,S,GREENWOOD AVE,222,,,,,,,,,,13,6,6,41.8113433,-87.59944915
6/7/2019 12:05,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,834,W,OHARE ST,1651,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,6,6,,
6/8/2019 20:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,8250,S,MORGAN ST,613,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,7,6,41.74360353,-87.64884346
6/12/2019 12:20,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,$500 OR LESS,UNABLE TO DETERMINE,FAILING TO YIELD RIGHT-OF-WAY,1300,W,ROOSEVELT RD,1231,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,12,4,6,41.86706467,-87.65924974
6/10/2019 14:30,30,UNKNOWN,OTHER,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,1298,E,87TH ST,412,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,14,2,6,41.73691648,-87.59358701
6/6/2019 16:05,30,TRAFFIC SIGNAL,NOT FUNCTIONING,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,2800,N,NARRAGANSETT AVE,2511,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,16,5,6,41.9310908,-87.78583883
6/8/2019 12:59,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,7517,N,WESTERN AVE,2411,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,7,6,42.0180696,-87.6900424
6/6/2019 19:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,1599,E,79TH ST,411,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,5,6,41.7513924,-87.58566794
6/12/2019 13:00,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,1403,W,95TH ST,2213,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,13,4,6,41.72116601,-87.65794284
6/4/2019 16:40,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",IMPROPER LANE USAGE,IMPROPER LANE USAGE,558,W,ROOSEVELT RD,124,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,3,6,41.86733857,-87.64159006
6/3/2019 13:45,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,499,S,DEARBORN ST,113,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,2,6,41.87569278,-87.6290937
6/7/2019 15:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR TO SIDE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",IMPROPER LANE USAGE,IMPROPER LANE USAGE,6000,N,DAMEN AVE,2413,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,6,41.99073358,-87.67997639
6/3/2019 21:45,30,NO CONTROLS,NO CONTROLS,UNKNOWN,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,10235,S,YATES AVE,431,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,21,2,6,41.7088616,-87.56437568
6/2/2019 17:40,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,8315,S,MORGAN ST,613,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,1,6,41.74278891,-87.64852492
6/14/2019 23:30,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,3800,W,ROOSEVELT RD,1133,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,23,6,6,41.86634859,-87.72019539
6/13/2019 18:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,3736,W,ARGYLE ST,1712,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,6,41.9720597,-87.72224892
6/7/2019 10:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,5515,S,DAMEN AVE,715,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,10,6,6,41.79306663,-87.67412143
6/5/2019 5:35,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,FAILING TO YIELD RIGHT-OF-WAY,WEATHER,1330,S,CANAL ST,124,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,5,4,6,41.86482834,-87.63931421
6/1/2019 15:45,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,6215,N,MAGNOLIA AVE,2433,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,7,6,41.99503024,-87.66155744
6/3/2019 17:30,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,3540,W,HARRISON ST,1133,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,2,6,41.8736931,-87.7144799
6/11/2019 22:52,30,UNKNOWN,UNKNOWN,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,201,E,102ND ST,511,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,22,3,6,41.70895226,-87.61862171
6/1/2019 11:44,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,7300,S,STONY ISLAND AVE,324,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,11,7,6,41.76236192,-87.58637724
6/10/2019 11:40,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,UNABLE TO DETERMINE,ROAD CONSTRUCTION/MAINTENANCE,2572,S,ARCHER AVE,913,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,11,2,6,41.84601706,-87.64920235
6/14/2019 15:15,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1787,W,13TH ST,1233,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,6,41.8649025,-87.67119922
6/3/2019 15:15,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,NOT APPLICABLE,NOT APPLICABLE,7575,S,KOSTNER AVE,833,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,2,6,41.75506193,-87.73222787
6/6/2019 21:19,0,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,600,E,79TH ST,624,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,5,6,41.75131013,-87.61002536
6/7/2019 15:15,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"$501 - $1,500",NOT APPLICABLE,NOT APPLICABLE,260,E,PEARSON ST,1833,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,6,41.89776428,-87.61926664
6/13/2019 8:30,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,$500 OR LESS,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1000,S,LOOMIS ST,1231,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,8,5,6,41.86929756,-87.66178699
6/13/2019 2:10,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",FOLLOWING TOO CLOSELY,NOT APPLICABLE,500,W,75TH ST,732,2,NONINCAPACITATING INJURY,3,0,0,3,0,1,0,2,5,6,41.7581477,-87.63702661
6/14/2019 23:40,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,151,E,127TH ST,532,2,NO INDICATION OF INJURY,0,0,0,0,0,7,0,23,6,6,41.66325865,-87.61795757
6/7/2019 19:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,,NO INJURY / DRIVE AWAY,,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,4706,W,HARRISON ST,1131,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,19,6,6,41.87330589,-87.74291558
6/1/2019 9:30,30,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN,UNKNOWN,SIDESWIPE SAME DIRECTION,CENTER TURN LANE,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,3200,N,HARLEM AVE,1631,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,7,6,41.93808447,-87.80689675
6/14/2019 10:20,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",DISTRACTION - FROM INSIDE VEHICLE,IMPROPER TURNING/NO SIGNAL,1600,N,CENTRAL AVE,2531,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,6,6,41.909497,-87.76583239
6/15/2019 11:10,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,8632,S,SUMMIT AVE,613,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,7,6,41.73703554,-87.64495096
6/6/2019 12:15,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"$501 - $1,500","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",NOT APPLICABLE,6637,N,GLENWOOD AVE,2432,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,5,6,42.00300785,-87.6655156
6/3/2019 13:32,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",DISREGARDING STOP SIGN,FAILING TO REDUCE SPEED TO AVOID CRASH,4257,W,FIFTH AVE,1132,4,INCAPACITATING INJURY,2,0,1,1,0,3,0,13,2,6,41.87098249,-87.73222997
6/10/2019 12:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,1380,W,RANDOLPH ST,1224,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,2,6,41.88428174,-87.66186162
6/7/2019 5:40,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,31,E,GARFIELD BLVD,225,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,5,6,6,41.79421813,-87.62451936
6/5/2019 12:15,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER BACKING,NOT APPLICABLE,7808,S,HALSTED ST,621,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,4,6,41.75213684,-87.64422891
6/5/2019 20:00,30,UNKNOWN,UNKNOWN,UNKNOWN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,3717,N,SEMINARY AVE,1923,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,4,6,41.94955386,-87.65664184
6/14/2019 20:16,25,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,REAR TO FRONT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",IMPROPER BACKING,UNABLE TO DETERMINE,4403,N,KEELER AVE,1722,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,6,6,41.96100957,-87.73258225
6/6/2019 0:35,15,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,ALLEY,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3744,W,CORTLAND ST,2535,1,NO INDICATION OF INJURY,0,0,0,0,0,3,0,0,5,6,41.91551928,-87.72100379
6/1/2019 15:15,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",IMPROPER OVERTAKING/PASSING,IMPROPER LANE USAGE,500,N,LAKE SHORE DR SB,1834,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,15,7,6,41.89114707,-87.61437506
6/4/2019 8:45,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",IMPROPER OVERTAKING/PASSING,FAILING TO YIELD RIGHT-OF-WAY,4365,W,IRVING PARK RD,1731,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,3,6,41.95342091,-87.73799691
6/8/2019 14:35,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER LANE USAGE,UNABLE TO DETERMINE,1604,W,95TH ST,2221,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,7,6,41.72132077,-87.66292119
6/15/2019 11:50,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,942,W,WILLOW ST,1813,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,11,7,6,41.91387353,-87.65251849
6/5/2019 20:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,1791,W,HOWARD ST,2422,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,4,6,42.01928673,-87.67610968
6/8/2019 2:10,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,5602,W,MADISON ST,1513,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,2,7,6,41.88035338,-87.76502977
6/14/2019 21:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,$500 OR LESS,UNABLE TO DETERMINE,NOT APPLICABLE,32,W,ONTARIO ST,1832,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,6,6,41.89336246,-87.62945264
6/5/2019 10:50,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,4938,W,FOSTER AVE,1623,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,4,6,41.97539461,-87.7517466
