County	State	FoodServices-97	FoodServices-2002	FoodServices-2007
Barber	 KS	16	16	14
Barton	 KS	71	62	61
Bourbon	 KS	60	34	34
Brown	 KS	20	20	24
Butler	 KS	96	102	100
Chase	 KS	8	8	7
Chautauqua	 KS	10	10	10
Cherokee	 KS	29	33	25
Cheyenne	 KS	9	8	5
Clark	 KS	6	6	7
Clay	 KS	21	17	19
Cloud	 KS	28	23	24
Coffey	 KS	21	16	19
Comanche	 KS	10	6	7
Cowley	 KS	74	68	71
Crawford	 KS	96	93	89
Decatur	 KS	7	7	9
Dickinson	 KS	49	41	37
Doniphan	 KS	10	10	8
Douglas	 KS	240	265	299
Edwards	 KS	11	7	6
Elk	 KS	8	8	6
Ellis	 KS	89	83	101
Ellsworth	 KS	16	14	12
Finney	 KS	68	64	74
Ford	 KS	69	80	72
Franklin	 KS	43	40	56
Geary	 KS	77	70	73
Gove	 KS	7	9	9
Graham	 KS	10	8	9
Grant	 KS	23	22	18
Gray	 KS	9	10	10
Greeley	 KS	5	6	2
Greenwood	 KS	27	21	14
Hamilton	 KS	7	7	6
Harper	 KS	22	14	18
Harvey	 KS	65	55	61
Haskell	 KS	8	7	6
Hodgeman	 KS	4	2	3
Jackson	 KS	20	21	19
Jefferson	 KS	33	28	22
Jewell	 KS	11	11	9
Johnson	 KS	827	921	1099
Kearny	 KS	6	6	6
Kingman	 KS	18	16	13
Kiowa	 KS	11	11	9
Labette	 KS	45	42	39
Lane	 KS	4	4	1
Leavenworth	 KS	85	75	86
Lincoln	 KS	7	10	5
Linn	 KS	12	10	7
Logan	 KS	11	17	18
Lyon	 KS	104	100	104
McPherson	 KS	64	61	64
Marion	 KS	34	24	23
Marshall	 KS	36	29	27
Meade	 KS	8	7	7
Miami	 KS	36	37	59
Mitchell	 KS	24	22	17
Montgomery	 KS	87	81	78
Morris	 KS	10	12	16
Morton	 KS	10	7	6
Nemaha	 KS	31	24	18
Neosho	 KS	41	38	35
Ness	 KS	14	8	11
Norton	 KS	14	19	13
Osage	 KS	32	22	21
Osborne	 KS	11	12	9
Ottawa	 KS	14	13	8
Pawnee	 KS	18	15	13
Phillips	 KS	18	14	14
Pottawatomie	 KS	32	27	32
Pratt	 KS	34	34	25
Rawlins	 KS	7	8	9
Reno	 KS	141	132	125
Republic	 KS	12	9	11
Rice	 KS	28	22	18
Riley	 KS	156	153	158
Rooks	 KS	19	15	11
Rush	 KS	8	9	4
Russell	 KS	21	18	20
Saline	 KS	136	138	128
Scott	 KS	12	14	13
Sedgwick	 KS	969	983	1066
Seward	 KS	56	57	49
Shawnee	 KS	374	353	370
Sheridan	 KS	4	4	5
Sherman	 KS	20	23	23
Smith	 KS	14	9	8
Stafford	 KS	14	12	12
Stanton	 KS	6	5	4
Stevens	 KS	13	10	11
Sumner	 KS	36	47	39
Thomas	 KS	34	31	29
Trego	 KS	13	12	12
Wabaunsee	 KS	8	8	10
Wallace	 KS	2	4	3
Washington	 KS	17	24	14
Wichita	 KS	1	2	3
Wilson	 KS	13	18	18
Woodson	 KS	10	8	6
Wyandotte	 KS	230	223	248
KENTUCKY		6546	6660	7309
Adair	 KY	19	22	20
Allen	 KY	20	19	14
Anderson	 KY	19	20	26
Ballard	 KY	6	13	10
Barren	 KY	85	86	87
Bath	 KY	11	8	10
Bell	 KY	50	46	47
Boone	 KY	171	203	269
Bourbon	 KY	27	25	25
Boyd	 KY	109	105	112
Boyle	 KY	54	58	63
Bracken	 KY	11	13	10
Breathitt	 KY	19	12	15
Breckinridge	 KY	22	18	18
Bullitt	 KY	56	73	84
Butler	 KY	12	13	16
Caldwell	 KY	24	22	24
Calloway	 KY	63	65	70
Campbell	 KY	169	167	192
Carlisle	 KY	7	5	4
Carroll	 KY	27	27	26
Carter	 KY	33	32	39
Casey	 KY	16	11	16
Christian	 KY	101	101	113
Clark	 KY	58	53	59
Clay	 KY	20	15	14
Clinton	 KY	16	13	16
Crittenden	 KY	12	11	12
Cumberland	 KY	12	11	11
Daviess	 KY	150	158	172
Edmonson	 KY	11	11	13
Elliott	 KY	4	3	5
Estill	 KY	17	15	19
Fayette	 KY	610	641	704
Fleming	 KY	9	9	12
Floyd	 KY	43	46	46
Franklin	 KY	89	100	95
Fulton	 KY	15	15	13
Gallatin	 KY	9	7	8
Garrard	 KY	13	12	12
Grant	 KY	37	47	46
Graves	 KY	49	51	49
Grayson	 KY	36	30	30
Green	 KY	11	10	10
Greenup	 KY	33	35	28
Hancock	 KY	8	5	10
Hardin	 KY	141	154	180
Harlan	 KY	32	30	28
Harrison	 KY	18	17	19
Hart	 KY	17	17	22
Henderson	 KY	81	78	88
Henry	 KY	7	12	13
Hickman	 KY	3	6	3
Hopkins	 KY	74	61	64
Jackson	 KY	8	11	5
Jefferson	 KY	1394	1444	1561
Jessamine	 KY	44	48	59
Johnson	 KY	28	34	36
Kenton	 KY	294	282	307
Knott	 KY	10	6	4
Knox	 KY	33	21	37
Larue	 KY	10	12	14
Laurel	 KY	64	65	91
Lawrence	 KY	18	17	15
Lee	 KY	8	6	6
Leslie	 KY	6	2	6
Letcher	 KY	19	22	23
Lewis	 KY	14	11	13
Lincoln	 KY	15	15	17
Livingston	 KY	11	16	13
Logan	 KY	29	32	29
Lyon	 KY	21	24	23
McCracken	 KY	184	173	203
McCreary	 KY	10	13	18
McLean	 KY	10	10	14
Madison	 KY	126	139	143
Magoffin	 KY	11	11	11
Marion	 KY	28	27	29
Marshall	 KY	72	72	82
Martin	 KY	15	14	16
Mason	 KY	42	40	48
Meade	 KY	24	22	27
Menifee	 KY	4	2	1
Mercer	 KY	36	34	35
Metcalfe	 KY	9	9	9
Monroe	 KY	21	16	17
Montgomery	 KY	38	37	37
Morgan	 KY	9	8	13
Muhlenberg	 KY	41	45	55
Nelson	 KY	55	54	59
Nicholas	 KY	4	5	5
Ohio	 KY	24	25	27
Oldham	 KY	51	49	60
Owen	 KY	6	8	13
Owsley	 KY	2	2	2
Pendleton	 KY	12	10	11
Perry	 KY	51	45	50
Pike	 KY	84	85	91
Powell	 KY	15	16	14
Pulaski	 KY	82	81	92
Robertson	 KY	3	0	1
Rockcastle	 KY	17	21	25
Rowan	 KY	43	39	43
Russell	 KY	29	29	31
Scott	 KY	51	62	79
Shelby	 KY	43	53	52
Simpson	 KY	37	32	41
Spencer	 KY	7	7	13
Taylor	 KY	45	40	42
Todd	 KY	10	10	12
Trigg	 KY	18	19	21
Trimble	 KY	7	6	6
Union	 KY	23	22	22
Warren	 KY	192	197	217
Washington	 KY	13	12	12
Wayne	 KY	20	23	26
Webster	 KY	15	15	17
Whitley	 KY	68	78	58
Wolfe	 KY	6	6	5
Woodford	 KY	41	32	34
LOUISIANA		7151	7535	8169
Acadia	 LA	58	55	67
Allen	 LA	26	31	28
Ascension	 LA	103	113	148
Assumption	 LA	13	11	13
Avoyelles	 LA	37	43	52
Beauregard	 LA	32	27	33
Bienville	 LA	16	14	16
Bossier	 LA	173	182	232
Caddo	 LA	408	393	439
Calcasieu	 LA	294	313	328
Caldwell	 LA	8	9	10
Cameron	 LA	11	9	4
Catahoula	 LA	11	9	11
Claiborne	 LA	18	11	8
Concordia	 LA	27	26	27
De Soto	 LA	15	17	21
East Baton Rouge	 LA	754	747	896
East Carroll	 LA	6	7	9
East Feliciana	 LA	17	12	17
Evangeline	 LA	34	25	22
Franklin	 LA	18	20	23
Grant	 LA	3	3	4
Iberia	 LA	83	91	92
Iberville	 LA	31	31	35
Jackson	 LA	18	16	18
Jefferson	 LA	948	1018	1032
Jefferson Davis	 LA	44	41	41
Lafayette	 LA	382	421	513
Lafourche	 LA	129	141	159
La Salle	 LA	13	10	14
Lincoln	 LA	66	68	80
Livingston	 LA	84	86	121
Madison	 LA	15	16	19
Morehouse	 LA	28	29	26
Natchitoches	 LA	65	66	72
Orleans	 LA	1105	1228	1058
Ouachita	 LA	265	264	285
Plaquemines	 LA	51	49	43
Pointe Coupee	 LA	26	29	30
Rapides	 LA	224	194	224
Red River	 LA	6	11	9
Richland	 LA	27	24	22
Sabine	 LA	24	17	17
St. Bernard	 LA	107	127	61
St. Charles	 LA	47	66	81
St. Helena	 LA	5	5	9
St. James	 LA	14	21	23
St. John the Baptist	 LA	36	49	71
St. Landry	 LA	76	94	97
St. Martin	 LA	52	65	77
St. Mary	 LA	91	89	107
St. Tammany	 LA	345	380	484
Tangipahoa	 LA	159	179	225
Tensas	 LA	8	5	7
Terrebonne	 LA	173	192	238
Union	 LA	19	18	17
Vermilion	 LA	64	60	64
Vernon	 LA	58	49	62
Washington	 LA	49	54	61
Webster	 LA	56	55	64
West Baton Rouge	 LA	31	50	47
West Carroll	 LA	7	7	10
West Feliciana	 LA	18	30	27
Winn	 LA	20	13	19
MAINE		3716	3726	3938
Androscoggin	 ME	180	195	226
Aroostook	 ME	162	151	151
Cumberland	 ME	793	837	898
Franklin	 ME	94	93	90
Hancock	 ME	315	318	304
Kennebec	 ME	257	247	300
Knox	 ME	131	149	178
Lincoln	 ME	158	166	152
Oxford	 ME	140	143	144
Penobscot	 ME	344	302	320
Piscataquis	 ME	50	53	49
Sagadahoc	 ME	64	65	81
Somerset	 ME	105	96	111
Waldo	 ME	86	87	88
Washington	 ME	113	97	92
York	 ME	724	727	754
MARYLAND		9049	9406	10802
Allegany	 MD	165	172	174
Anne Arundel	 MD	852	895	1052
Baltimore	 MD	1359	1345	1546
Calvert	 MD	94	95	122
Caroline	 MD	27	31	36
Carroll	 MD	214	222	251
Cecil	 MD	131	146	171
Charles	 MD	186	203	231
Dorchester	 MD	60	49	62
Frederick	 MD	304	348	392
Garrett	 MD	73	80	79
Harford	 MD	293	307	367
Howard	 MD	366	394	535
Kent	 MD	66	55	63
Montgomery	 MD	1407	1518	1753
Prince George's	 MD	1027	1027	1186
Queen Anne's	 MD	80	78	94
St. Mary's	 MD	111	123	162
Somerset	 MD	28	32	31
Talbot	 MD	96	113	124
Washington	 MD	230	272	290
Wicomico	 MD	159	160	194
Worcester	 MD	393	400	406
Baltimore city	 MD	1328	1341	1481
MASSACHUSETTS		14827	15175	16039
Barnstable	 MA	1144	1141	1100
Berkshire	 MA	485	511	516
Bristol	 MA	1113	1145	1206
Dukes	 MA	139	135	125
Essex	 MA	1575	1624	1708
Franklin	 MA	150	141	157
Hampden	 MA	935	947	978
Hampshire	 MA	334	342	367
Middlesex	 MA	3053	3126	3372
Nantucket	 MA	106	116	104
Norfolk	 MA	1303	1361	1435
Plymouth	 MA	889	935	1023
Suffolk	 MA	2076	2115	2257
Worcester	 MA	1525	1536	1691
MICHIGAN		18958	19084	19678
Alcona	 MI	38	32	26
Alger	 MI	57	41	41
Allegan	 MI	174	202	216
Alpena	 MI	74	67	73
Antrim	 MI	71	64	68
Arenac	 MI	51	43	47
Baraga	 MI	21	16	14
Barry	 MI	84	75	81
Bay	 MI	241	241	238
Benzie	 MI	60	57	54
Berrien	 MI	383	413	413
Branch	 MI	78	84	83
Calhoun	 MI	307	291	284
Cass	 MI	76	80	63
Charlevoix	 MI	84	79	87
Cheboygan	 MI	128	107	116
Chippewa	 MI	147	133	114
Clare	 MI	80	71	68
Clinton	 MI	83	85	99
Crawford	 MI	47	50	49
Delta	 MI	132	126	110
Dickinson	 MI	92	84	78
Eaton	 MI	156	151	201
Emmet	 MI	143	163	142
Genesee	 MI	794	717	762
Gladwin	 MI	42	42	50
Gogebic	 MI	70	69	61
Grand Traverse	 MI	233	226	236
Gratiot	 MI	67	68	66
Hillsdale	 MI	75	77	80
Houghton	 MI	118	110	111
Huron	 MI	103	91	105
Ingham	 MI	597	618	601
Ionia	 MI	85	78	88
Iosco	 MI	88	80	77
Iron	 MI	49	45	44
Isabella	 MI	103	114	125
Jackson	 MI	267	282	300
Kalamazoo	 MI	452	458	507
Kalkaska	 MI	29	33	29
Kent	 MI	954	1028	1134
Keweenaw	 MI	21	19	15
Lake	 MI	36	30	31
Lapeer	 MI	119	121	123
Leelanau	 MI	78	65	75
Lenawee	 MI	182	184	178
Livingston	 MI	193	214	263
Luce	 MI	33	25	22
Mackinac	 MI	129	129	106
Macomb	 MI	1342	1463	1547
Manistee	 MI	73	84	68
Marquette	 MI	175	169	190
Mason	 MI	80	92	90
Mecosta	 MI	87	75	76
Menominee	 MI	51	50	38
Midland	 MI	132	127	129
Missaukee	 MI	25	19	24
Monroe	 MI	219	247	274
Montcalm	 MI	89	100	103
Montmorency	 MI	38	28	31
Muskegon	 MI	321	317	344
Newaygo	 MI	62	71	79
Oakland	 MI	2453	2559	2700
Oceana	 MI	66	67	78
Ogemaw	 MI	69	62	60
Ontonagon	 MI	40	41	40
Osceola	 MI	43	44	41
Oscoda	 MI	24	26	25
Otsego	 MI	69	67	73
Ottawa	 MI	328	348	381
Presque Isle	 MI	57	46	42
Roscommon	 MI	79	91	80
Saginaw	 MI	408	415	383
St. Clair	 MI	290	277	287
St. Joseph	 MI	128	119	109
Sanilac	 MI	75	72	73
Schoolcraft	 MI	43	48	32
Shiawassee	 MI	110	107	109
Tuscola	 MI	84	77	68
Van Buren	 MI	146	146	168
Washtenaw	 MI	627	614	679
Wayne	 MI	3313	3254	3215
Wexford	 MI	88	84	88
MINNESOTA		9982	10232	11340
Aitkin	 MN	59	54	60
Anoka	 MN	351	393	461
Becker	 MN	104	81	88
Beltrami	 MN	100	104	100
Benton	 MN	53	55	63
Big Stone	 MN	21	21	17
Blue Earth	 MN	137	141	167
Brown	 MN	62	67	74
Carlton	 MN	74	70	66
Carver	 MN	109	119	138
Cass	 MN	121	155	139
Chippewa	 MN	30	32	32
Chisago	 MN	67	71	93
Clay	 MN	107	93	89
Clearwater	 MN	20	18	21
Cook	 MN	71	75	65
Cottonwood	 MN	24	19	23
Crow Wing	 MN	211	195	200
Dakota	 MN	488	555	645
Dodge	 MN	24	23	28
Douglas	 MN	106	98	114
Faribault	 MN	31	24	34
Fillmore	 MN	60	64	62
Freeborn	 MN	79	82	82
Goodhue	 MN	104	114	125
Grant	 MN	11	11	11
Hennepin	 MN	2196	2301	2640
Houston	 MN	33	36	42
Hubbard	 MN	70	68	68
Isanti	 MN	43	52	68
Itasca	 MN	116	109	116
Jackson	 MN	16	20	22
Kanabec	 MN	23	30	28
Kandiyohi	 MN	88	87	96
Kittson	 MN	11	9	11
Koochiching	 MN	52	48	43
Lac qui Parle	 MN	17	14	15
Lake	 MN	49	59	55
Lake of the Woods	 MN	35	36	38
Le Sueur	 MN	47	45	47
Lincoln	 MN	15	15	11
Lyon	 MN	52	54	64
McLeod	 MN	67	66	67
Mahnomen	 MN	14	13	10
Marshall	 MN	27	20	20
Martin	 MN	52	51	49
Meeker	 MN	36	40	39
Mille Lacs	 MN	65	65	75
Morrison	 MN	91	92	92
Mower	 MN	87	92	86
Murray	 MN	22	22	19
Nicollet	 MN	44	43	47
Nobles	 MN	44	41	51
Norman	 MN	26	12	17
Olmsted	 MN	274	262	311
Otter Tail	 MN	138	149	157
Pennington	 MN	32	29	34
Pine	 MN	68	64	63
Pipestone	 MN	28	23	20
Polk	 MN	80	67	61
Pope	 MN	36	30	37
Ramsey	 MN	1011	992	1114
Red Lake	 MN	9	10	8
Redwood	 MN	41	32	38
Renville	 MN	33	30	31
Rice	 MN	110	113	114
Rock	 MN	20	19	14
Roseau	 MN	44	42	38
St. Louis	 MN	591	584	579
Scott	 MN	122	161	185
Sherburne	 MN	74	78	119
Sibley	 MN	18	21	25
Stearns	 MN	309	310	389
Steele	 MN	65	69	85
Stevens	 MN	24	25	27
Swift	 MN	28	24	28
Todd	 MN	49	44	46
Traverse	 MN	10	9	7
Wabasha	 MN	51	46	56
Wadena	 MN	22	38	35
Waseca	 MN	32	33	39
Washington	 MN	296	328	385
Watonwan	 MN	20	23	22
Wilkin	 MN	19	17	16
Winona	 MN	115	112	109
Wright	 MN	130	151	188
Yellow Medicine	 MN	21	23	27
MISSISSIPPI		4050	4329	4817
Adams	 MS	88	84	88
Alcorn	 MS	66	66	70
Amite	 MS	4	5	4
Attala	 MS	28	26	26
Benton	 MS	1	1	0
Bolivar	 MS	49	51	44
Calhoun	 MS	16	12	12
Carroll	 MS	2	8	5
Chickasaw	 MS	27	31	19
Choctaw	 MS	5	4	8
Claiborne	 MS	6	8	12
Clarke	 MS	12	10	11
Clay	 MS	32	35	34
Coahoma	 MS	37	41	42
Copiah	 MS	30	35	33
Covington	 MS	15	16	21
DeSoto	 MS	114	168	260
Forrest	 MS	163	165	176
Franklin	 MS	4	7	5
George	 MS	25	23	27
Greene	 MS	9	5	4
Grenada	 MS	46	50	61
Hancock	 MS	72	84	78
Harrison	 MS	377	428	353
Hinds	 MS	449	449	451
Holmes	 MS	18	25	25
Humphreys	 MS	9	7	9
Issaquena	 MS	0	0	0
Itawamba	 MS	29	28	27
Jackson	 MS	191	211	227
Jasper	 MS	12	7	13
Jefferson	 MS	5	5	3
Jefferson Davis	 MS	16	13	9
Jones	 MS	84	94	105
Kemper	 MS	4	4	5
Lafayette	 MS	109	101	128
Lamar	 MS	48	50	100
Lauderdale	 MS	147	151	159
Lawrence	 MS	15	17	16
Leake	 MS	20	20	23
Lee	 MS	158	168	195
Leflore	 MS	51	48	62
Lincoln	 MS	42	54	58
Lowndes	 MS	105	104	111
Madison	 MS	113	148	228
Marion	 MS	32	32	44
Marshall	 MS	19	21	28
Monroe	 MS	46	41	51
Montgomery	 MS	20	21	23
Neshoba	 MS	37	46	42
Newton	 MS	26	19	22
Noxubee	 MS	8	11	11
Oktibbeha	 MS	85	85	100
Panola	 MS	46	43	54
Pearl River	 MS	66	64	83
Perry	 MS	6	4	5
Pike	 MS	61	64	76
Pontotoc	 MS	25	23	30
Prentiss	 MS	34	30	33
Quitman	 MS	5	9	5
Rankin	 MS	127	182	241
Scott	 MS	36	34	38
Sharkey	 MS	3	4	4
Simpson	 MS	21	27	37
Smith	 MS	8	8	10
Stone	 MS	18	18	27
Sunflower	 MS	27	25	31
Tallahatchie	 MS	11	10	8
Tate	 MS	25	26	29
Tippah	 MS	21	18	24
Tishomingo	 MS	21	29	29
Tunica	 MS	26	29	34
Union	 MS	38	30	32
Walthall	 MS	17	18	16
Warren	 MS	97	104	105
Washington	 MS	95	90	86
Wayne	 MS	20	28	29
Webster	 MS	5	5	12
Wilkinson	 MS	9	6	6
Winston	 MS	22	26	28
Yalobusha	 MS	10	7	12
Yazoo	 MS	24	25	25
MISSOURI		11150	11280	12261
Adair	 MO	59	55	60
Andrew	 MO	14	12	14
Atchison	 MO	21	20	14
Audrain	 MO	46	38	39
Barry	 MO	66	69	63
Barton	 MO	25	21	20
Bates	 MO	23	27	26
Benton	 MO	43	55	60
Bollinger	 MO	10	9	14
Boone	 MO	312	335	422
Buchanan	 MO	196	181	197
Butler	 MO	76	76	87
Caldwell	 MO	9	10	15
Callaway	 MO	48	40	60
Camden	 MO	200	179	187
Cape Girardeau	 MO	137	155	177
Carroll	 MO	13	15	17
Carter	 MO	18	14	15
Cass	 MO	104	111	143
Cedar	 MO	33	32	32
Chariton	 MO	11	11	10
Christian	 MO	62	75	105
Clark	 MO	4	7	10
Clay	 MO	320	351	389
Clinton	 MO	22	24	27
Cole	 MO	134	158	157
Cooper	 MO	32	37	39
Crawford	 MO	47	49	55
Dade	 MO	11	10	13
Dallas	 MO	27	24	23
Daviess	 MO	10	15	12
DeKalb	 MO	27	22	13
Dent	 MO	22	19	20
Douglas	 MO	8	9	13
Dunklin	 MO	51	57	59
Franklin	 MO	160	167	184
Gasconade	 MO	36	42	44
Gentry	 MO	12	11	13
Greene	 MO	595	622	663
Grundy	 MO	17	14	16
Harrison	 MO	17	19	19
Henry	 MO	53	54	61
Hickory	 MO	20	21	14
Holt	 MO	12	13	18
Howard	 MO	12	16	15
Howell	 MO	76	68	71
Iron	 MO	18	16	18
Jackson	 MO	1393	1361	1431
Jasper	 MO	222	224	247
Jefferson	 MO	214	215	272
Johnson	 MO	83	88	94
Knox	 MO	4	7	5
Laclede	 MO	62	73	74
Lafayette	 MO	70	69	67
Lawrence	 MO	54	49	55
Lewis	 MO	18	14	12
Lincoln	 MO	48	51	66
Linn	 MO	26	28	21
Livingston	 MO	28	27	32
McDonald	 MO	34	32	29
Macon	 MO	26	27	36
Madison	 MO	23	20	23
Maries	 MO	9	12	15
Marion	 MO	69	69	74
Mercer	 MO	8	8	9
Miller	 MO	63	74	58
Mississippi	 MO	16	17	23
Moniteau	 MO	21	21	27
Monroe	 MO	22	19	21
Montgomery	 MO	17	18	16
Morgan	 MO	51	42	43
New Madrid	 MO	26	22	28
Newton	 MO	87	88	105
Nodaway	 MO	41	37	40
Oregon	 MO	18	17	11
Osage	 MO	21	18	23
Ozark	 MO	14	16	22
Pemiscot	 MO	36	27	34
Perry	 MO	39	39	43
Pettis	 MO	76	89	92
Phelps	 MO	103	111	106
Pike	 MO	25	23	28
Platte	 MO	157	179	198
Polk	 MO	40	49	54
Pulaski	 MO	77	79	87
Putnam	 MO	5	6	4
Ralls	 MO	17	14	16
Randolph	 MO	45	42	40
Ray	 MO	26	28	31
Reynolds	 MO	14	12	17
Ripley	 MO	16	16	12
St. Charles	 MO	418	498	677
St. Clair	 MO	14	18	15
Ste. Genevieve	 MO	32	24	37
St. Francois	 MO	100	105	116
St. Louis	 MO	2030	1983	2142
Saline	 MO	50	49	41
Schuyler	 MO	8	5	5
Scotland	 MO	10	11	10
Scott	 MO	78	85	83
Shannon	 MO	16	13	21
Shelby	 MO	11	16	13
Stoddard	 MO	47	43	39
Stone	 MO	86	86	101
Sullivan	 MO	7	7	6
Taney	 MO	328	293	303
Texas	 MO	32	34	38
Vernon	 MO	41	41	40
Warren	 MO	34	34	47
Washington	 MO	17	15	17
Wayne	 MO	20	26	21
Webster	 MO	38	31	36
Worth	 MO	6	8	5
Wright	 MO	40	26	30
St. Louis city	 MO	954	967	934
MONTANA		3280	3260	3360
Beaverhead	 MT	47	55	48
Big Horn	 MT	35	24	27
Blaine	 MT	18	16	18
Broadwater	 MT	17	14	19
Carbon	 MT	52	45	50
Carter	 MT	5	2	1
Cascade	 MT	267	257	247
Chouteau	 MT	22	22	19
Custer	 MT	43	43	40
Daniels	 MT	10	7	7
Dawson	 MT	29	29	31
Deer Lodge	 MT	39	36	36
Fallon	 MT	12	14	17
Fergus	 MT	49	45	49
Flathead	 MT	319	317	347
Gallatin	 MT	286	339	376
Garfield	 MT	5	4	6
Glacier	 MT	52	51	48
Golden Valley	 MT	4	4	4
Granite	 MT	15	11	15
Hill	 MT	53	53	49
Jefferson	 MT	27	18	31
Judith Basin	 MT	13	9	9
Lake	 MT	86	77	78
Lewis and Clark	 MT	183	189	190
Liberty	 MT	4	6	6
Lincoln	 MT	68	57	66
McCone	 MT	5	4	5
Madison	 MT	44	61	65
Meagher	 MT	16	15	13
Mineral	 MT	24	27	22
Missoula	 MT	329	329	332
Musselshell	 MT	20	13	9
Park	 MT	111	104	120
Petroleum	 MT	3	3	3
Phillips	 MT	23	20	16
Pondera	 MT	18	15	15
Powder River	 MT	7	6	9
Powell	 MT	25	27	26
Prairie	 MT	5	2	5
Ravalli	 MT	92	98	105
Richland	 MT	40	34	37
Roosevelt	 MT	29	27	30
Rosebud	 MT	29	31	29
Sanders	 MT	27	39	36
Sheridan	 MT	26	18	17
Silver Bow	 MT	130	120	133
Stillwater	 MT	24	23	23
Sweet Grass	 MT	15	16	18
Teton	 MT	26	19	17
Toole	 MT	27	26	26
Treasure	 MT	4	4	2
Valley	 MT	33	32	29
Wheatland	 MT	14	12	11
Wibaux	 MT	9	4	5
Yellowstone	 MT	365	387	368
Yellowstone National Park	 MT	0	0	0
NEBRASKA		4070	3992	4241
Adams	 NE	82	79	79
Antelope	 NE	17	18	13
Arthur	 NE	0	0	1
Banner	 NE	0	0	0
Blaine	 NE	1	1	1
Boone	 NE	14	15	17
Box Butte	 NE	35	34	34
Boyd	 NE	6	6	5
Brown	 NE	16	8	11
Buffalo	 NE	118	120	137
Burt	 NE	17	14	12
Butler	 NE	18	10	13
Cass	 NE	45	41	46
Cedar	 NE	21	15	17
Chase	 NE	12	11	11
Cherry	 NE	27	27	21
Cheyenne	 NE	37	36	39
Clay	 NE	21	12	7
Colfax	 NE	31	24	16
Cuming	 NE	33	25	20
Custer	 NE	32	24	31
Dakota	 NE	41	40	35
Dawes	 NE	37	38	41
Dawson	 NE	63	60	57
Deuel	 NE	10	5	7
Dixon	 NE	9	8	14
Dodge	 NE	99	91	98
Douglas	 NE	1033	1094	1237
Dundy	 NE	8	6	6
Fillmore	 NE	23	19	21
Franklin	 NE	10	9	5
Frontier	 NE	4	4	4
Furnas	 NE	17	18	14
Gage	 NE	50	52	47
Garden	 NE	10	8	6
Garfield	 NE	8	7	9
Gosper	 NE	5	5	4
Grant	 NE	3	3	2
Greeley	 NE	6	5	3
Hall	 NE	155	152	136
Hamilton	 NE	12	14	13
Harlan	 NE	15	12	12
Hayes	 NE	1	2	3
Hitchcock	 NE	4	5	6
Holt	 NE	30	29	35
Hooker	 NE	4	4	5
Howard	 NE	17	12	12
Jefferson	 NE	19	19	22
Johnson	 NE	10	10	9
Kearney	 NE	15	15	14
Keith	 NE	57	48	46
Keya Paha	 NE	2	2	1
Kimball	 NE	18	13	15
Knox	 NE	30	34	23
Lancaster	 NE	545	553	651
Lincoln	 NE	96	88	96
Logan	 NE	2	0	0
Loup	 NE	1	2	0
McPherson	 NE	1	1	2
Madison	 NE	101	89	87
Merrick	 NE	17	17	16
Morrill	 NE	16	17	13
Nance	 NE	4	5	8
Nemaha	 NE	21	22	23
Nuckolls	 NE	14	8	8
Otoe	 NE	47	42	41
Pawnee	 NE	8	6	6
Perkins	 NE	9	5	4
Phelps	 NE	20	25	20
Pierce	 NE	14	12	9
Platte	 NE	75	79	80
Polk	 NE	12	11	8
Red Willow	 NE	39	32	27
Richardson	 NE	26	24	23
Rock	 NE	9	6	3
Saline	 NE	39	41	33
Sarpy	 NE	155	171	224
Saunders	 NE	39	40	39
Scotts Bluff	 NE	100	103	104
Seward	 NE	37	42	34
Sheridan	 NE	24	18	18
Sherman	 NE	9	9	8
Sioux	 NE	2	1	2
Stanton	 NE	6	4	6
Thayer	 NE	14	13	16
Thomas	 NE	4	4	3
Thurston	 NE	8	8	8
Valley	 NE	20	14	13
Washington	 NE	45	43	40
Wayne	 NE	26	23	21
Webster	 NE	9	6	7
Wheeler	 NE	5	4	7
York	 NE	43	41	40
NEVADA		3633	4252	5570
Churchill	 NV	53	51	52
Clark	 NV	2164	2787	3797
Douglas	 NV	92	95	130
Elko	 NV	134	116	127
Esmeralda	 NV	5	5	2
Eureka	 NV	6	5	4
Humboldt	 NV	53	45	57
Lander	 NV	19	18	17
Lincoln	 NV	18	13	16
Lyon	 NV	43	42	67
Mineral	 NV	12	13	13
Nye	 NV	54	71	74
Pershing	 NV	21	14	14
Storey	 NV	10	13	13
Washoe	 NV	779	815	990
White Pine	 NV	37	25	30
Carson City city	 NV	133	124	167
NEW HAMPSHIRE		3033	3160	3508
Belknap	 NH	213	206	229
Carroll	 NH	271	281	304
Cheshire	 NH	133	156	161
Coos	 NH	121	122	117
Grafton	 NH	325	342	356
Hillsborough	 NH	704	753	875
Merrimack	 NH	261	269	306
Rockingham	 NH	727	751	832
Strafford	 NH	209	218	256
Sullivan	 NH	69	62	72
NEW JERSEY		16975	17537	19526
Atlantic	 NJ	766	749	862
Bergen	 NJ	1910	1966	2222
Burlington	 NJ	711	772	907
Camden	 NJ	881	893	1019
Cape May	 NJ	961	933	832
Cumberland	 NJ	218	212	262
Essex	 NJ	1320	1460	1514
Gloucester	 NJ	386	427	472
Hudson	 NJ	1127	1146	1297
Hunterdon	 NJ	237	222	284
Mercer	 NJ	703	741	834
Middlesex	 NJ	1319	1374	1614
Monmouth	 NJ	1377	1457	1642
