Station,Date,Time,WL,Sigma,I,L
9431647,3/26/2003,1:00,1.216,0,1,0
9431647,3/26/2003,2:00,1.451,0,0,0
9431647,3/26/2003,3:00,1.588,0,0,0
9431647,3/26/2003,4:00,1.581,0.091,0,0
9431647,3/26/2003,5:00,1.469,0.084,0,0
9431647,3/26/2003,6:00,1.38,0.08,0,0
9431647,3/26/2003,7:00,1.216,0.097,0,0
9431647,3/26/2003,8:00,1.203,0.103,0,0
9431647,3/26/2003,9:00,1.2,0.08,0,0
9431647,3/26/2003,10:00,1.289,0.099,0,0
9431647,3/26/2003,11:00,1.548,0.086,0,0
9431647,3/26/2003,12:00,1.748,0.099,0,0
9431647,3/26/2003,13:00,1.943,0.072,0,0
9431647,3/26/2003,14:00,2.009,0.115,0,0
9431647,3/26/2003,15:00,1.893,0.133,0,0
9431647,3/26/2003,16:00,1.636,0,0,
9431647,3/26/2003,17:00,1.252,0,0,
9431647,3/26/2003,18:00,0.861,0,1,0
9431647,3/26/2003,19:00,0.464,0.106,0,0
9431647,3/26/2003,20:00,0.121,0.084,0,0
9431647,3/26/2003,21:00,-0.063,0,0,
9431647,3/26/2003,22:00,-0.105,0,0,
9431647,3/26/2003,23:00,0.059,0.089,0,0
9431647,3/27/2003,0:00,0.375,0.06,0,0
9431647,3/27/2003,1:00,0.743,0.096,0,0
9431647,3/27/2003,2:00,1.113,0.114,0,0
9431647,3/27/2003,3:00,1.382,0.091,0,0
9431647,3/27/2003,4:00,1.526,0.115,0,0
9431647,3/27/2003,5:00,1.549,0.141,0,0
9431647,3/27/2003,6:00,1.434,0.128,0,0
9431647,3/27/2003,7:00,1.274,0.142,0,0
9431647,3/27/2003,8:00,1.114,0.118,0,0
9431647,3/27/2003,9:00,0.989,0.118,0,0
9431647,3/27/2003,10:00,0.994,0.151,0,0
9431647,3/27/2003,11:00,1.059,0.134,0,0
9431647,3/27/2003,12:00,1.304,0.139,0,0
9431647,3/27/2003,13:00,1.587,0.144,0,0
9431647,3/27/2003,14:00,1.708,0.135,0,0
9431647,3/27/2003,15:00,1.811,0,1,0
9431647,3/27/2003,16:00,1.798,0,0,
9431647,3/27/2003,17:00,1.641,0,0,
9431647,3/27/2003,18:00,1.21,0,0,
9431647,3/27/2003,19:00,0.763,0.104,0,0
9431647,3/27/2003,20:00,0.381,0,1,0
9431647,3/27/2003,21:00,0.029,0,0,
9431647,3/27/2003,22:00,-0.125,0,0,
9431647,3/27/2003,23:00,-0.098,0,0,
9431647,3/28/2003,0:00,-0.054,0.095,0,0
9431647,3/28/2003,1:00,0.36,0.127,0,0
9431647,3/28/2003,2:00,0.696,0.12,0,0
9431647,3/28/2003,3:00,1.112,0.158,0,0
9431647,3/28/2003,4:00,1.389,0,0,
9431647,3/28/2003,5:00,1.581,0.112,0,0
9431647,3/28/2003,6:00,1.493,0.132,0,0
9431647,3/28/2003,7:00,1.426,0.138,0,0
9431647,3/28/2003,8:00,1.169,0.133,0,0
9431647,3/28/2003,9:00,0.926,0.119,0,0
9431647,3/28/2003,10:00,0.823,0.142,0,0
9431647,3/28/2003,11:00,0.778,0.083,0,0
9431647,3/28/2003,12:00,0.871,0.123,0,0
9431647,3/28/2003,13:00,1.037,0.121,0,0
9431647,3/28/2003,14:00,1.378,0.097,0,0
9431647,3/28/2003,15:00,1.652,0,1,0
9431647,3/28/2003,16:00,1.774,0,0,
9431647,3/28/2003,17:00,1.739,0,0,
9431647,3/28/2003,18:00,1.555,0,0,
9431647,3/28/2003,19:00,1.263,0.053,0,0
9431647,3/28/2003,20:00,0.798,0,0,
9431647,3/28/2003,21:00,0.364,0,0,
9431647,3/28/2003,22:00,-0.012,0,0,
9431647,3/28/2003,23:00,-0.164,0.057,0,0
9431647,3/29/2003,0:00,-0.161,0.062,0,0
9431647,3/29/2003,1:00,0.027,0.043,0,0
9431647,3/29/2003,2:00,0.405,0.042,0,0
9431647,3/29/2003,3:00,0.85,0.059,0,0
9431647,3/29/2003,4:00,1.23,0.072,0,0
9431647,3/29/2003,5:00,1.522,0.06,0,0
9431647,3/29/2003,6:00,1.651,0,0,
9431647,3/29/2003,7:00,1.572,0.061,0,0
9431647,3/29/2003,8:00,1.371,0.06,0,0
9431647,3/29/2003,9:00,1.079,0.054,0,0
9431647,3/29/2003,10:00,0.814,0.067,0,0
9431647,3/29/2003,11:00,0.63,0.053,0,0
9431647,3/29/2003,12:00,0.624,0.051,0,0
9431647,3/29/2003,13:00,0.78,0.048,0,0
9431647,3/29/2003,14:00,1.041,0.059,0,0
9431647,3/29/2003,15:00,1.378,0,1,0
9431647,3/29/2003,16:00,1.673,0,0,
9431647,3/29/2003,17:00,1.835,0,0,
9431647,3/29/2003,18:00,1.826,0,0,
9431647,3/29/2003,19:00,1.596,0.069,0,0
9431647,3/29/2003,20:00,1.229,0,0,
9431647,3/29/2003,21:00,0.775,0.056,0,0
9431647,3/29/2003,22:00,0.326,0.032,0,0
9431647,3/29/2003,23:00,-0.003,0.042,0,0
9431647,3/30/2003,0:00,-0.139,0.032,0,0
9431647,3/30/2003,1:00,-0.053,0.045,0,0
9431647,3/30/2003,2:00,0.223,0.039,0,0
9431647,3/30/2003,3:00,0.655,0.052,0,0
9431647,3/30/2003,4:00,1.11,0.058,0,0
9431647,3/30/2003,5:00,1.488,0.06,0,0
9431647,3/30/2003,6:00,1.697,0.08,0,0
9431647,3/30/2003,7:00,1.73,0.075,0,0
9431647,3/30/2003,8:00,1.589,0.067,0,0
9431647,3/30/2003,9:00,1.265,0,0,
9431647,3/30/2003,10:00,0.915,0,0,
9431647,3/30/2003,11:00,0.638,0.093,0,0
9431647,3/30/2003,12:00,0.467,0.05,0,0
9431647,3/30/2003,13:00,0.5,0.058,0,0
9431647,3/30/2003,14:00,0.729,0.081,0,0
9431647,3/30/2003,15:00,1.044,0,0,
9431647,3/30/2003,16:00,1.428,0,0,
9431647,3/30/2003,17:00,1.727,0.053,0,0
9431647,3/30/2003,18:00,1.908,0.076,0,0
9431647,3/30/2003,19:00,1.83,0.072,0,0
9431647,3/30/2003,20:00,1.581,0.07,0,0
9431647,3/30/2003,21:00,1.157,0.064,0,0
9431647,3/30/2003,22:00,0.709,0.059,0,0
9431647,3/30/2003,23:00,0.255,0.049,0,0
9431647,3/31/2003,0:00,0.006,0.048,0,0
9431647,3/31/2003,1:00,-0.049,0.052,0,0
9431647,3/31/2003,2:00,0.143,0.072,0,0
9431647,3/31/2003,3:00,0.514,0.072,0,0
9431647,3/31/2003,4:00,1.012,0.073,0,0
9431647,3/31/2003,5:00,1.455,0.082,0,0
9431647,3/31/2003,6:00,1.78,0.085,0,0
9431647,3/31/2003,7:00,1.926,0.085,0,0
9431647,3/31/2003,8:00,1.837,0.075,0,0
9431647,3/31/2003,9:00,1.574,0.075,0,0
9431647,3/31/2003,10:00,1.197,0.071,0,0
9431647,3/31/2003,11:00,0.825,0.059,0,0
9431647,3/31/2003,12:00,0.544,0.071,0,0
9431647,3/31/2003,13:00,0.433,0.061,0,0
9431647,3/31/2003,14:00,0.512,0.062,0,0
9431647,3/31/2003,15:00,0.787,0.075,0,0
9431647,3/31/2003,16:00,1.223,0.055,0,0
9431647,3/31/2003,17:00,1.617,0.065,0,0
9431647,3/31/2003,18:00,1.873,0.088,0,0
9431647,3/31/2003,19:00,2,0.071,0,0
9431647,3/31/2003,20:00,1.88,0.083,0,0
9431647,3/31/2003,21:00,1.567,0.067,0,0
9431647,3/31/2003,22:00,1.123,0.064,0,0
9431647,3/31/2003,23:00,0.675,0.057,0,0
9431647,4/1/2003,0:00,0.295,0.05,0,0
9431647,4/1/2003,1:00,0.119,0.046,0,0
9431647,4/1/2003,2:00,0.2,0.042,0,0
9431647,4/1/2003,3:00,0.495,0.066,0,0
9431647,4/1/2003,4:00,0.932,0.066,0,0
9431647,4/1/2003,5:00,1.395,0.06,0,0
9431647,4/1/2003,6:00,1.78,0.073,0,0
9431647,4/1/2003,7:00,2.03,0.054,0,0
9431647,4/1/2003,8:00,2.05,0.051,0,0
9431647,4/1/2003,9:00,1.847,0.067,0,0
9431647,4/1/2003,10:00,1.452,0.067,0,0
9431647,4/1/2003,11:00,1.01,0.055,0,0
9431647,4/1/2003,12:00,0.638,0.053,0,0
9431647,4/1/2003,13:00,0.39,0.055,0,0
9431647,4/1/2003,14:00,0.365,0.043,0,0
9431647,4/1/2003,15:00,0.57,0.049,0,0
9431647,4/1/2003,16:00,0.892,0,0,
9431647,4/1/2003,17:00,1.346,0.046,0,0
9431647,4/1/2003,18:00,1.732,0,1,0
9431647,4/1/2003,19:00,1.956,0,0,
9431647,4/1/2003,20:00,2.009,0,0,
9431647,4/1/2003,21:00,1.843,0,0,
9431647,4/1/2003,22:00,1.52,0.066,0,0
9431647,4/1/2003,23:00,1.103,0.061,0,0
9431647,4/2/2003,0:00,0.714,0.061,0,0
9431647,4/2/2003,1:00,0.419,0.063,0,0
9431647,4/2/2003,2:00,0.397,0.053,0,0
9431647,4/2/2003,3:00,0.579,0.061,0,0
9431647,4/2/2003,4:00,0.927,0.065,0,0
9431647,4/2/2003,5:00,1.365,0.08,0,0
9431647,4/2/2003,6:00,1.794,0.076,0,0
9431647,4/2/2003,7:00,2.097,0.095,0,0
9431647,4/2/2003,8:00,2.221,0.077,0,0
9431647,4/2/2003,9:00,2.067,0.079,0,0
9431647,4/2/2003,10:00,1.758,0.08,0,0
9431647,4/2/2003,11:00,1.314,0,0,
9431647,4/2/2003,12:00,0.84,0.111,0,0
9431647,4/2/2003,13:00,0.514,0.077,0,0
9431647,4/2/2003,14:00,0.355,0,0,
9431647,4/2/2003,15:00,0.412,0.114,0,0
9431647,4/2/2003,16:00,0.672,0.103,0,0
9431647,4/2/2003,17:00,1.123,0.098,0,0
9431647,4/2/2003,18:00,1.509,0,1,0
9431647,4/2/2003,19:00,1.842,0,1,0
9431647,4/2/2003,20:00,1.991,0,0,
9431647,4/2/2003,21:00,1.957,0,0,
9431647,4/2/2003,22:00,1.73,0,0,
9431647,4/2/2003,23:00,1.343,0.105,0,0
9431647,4/3/2003,0:00,0.932,0.107,0,0
9431647,4/3/2003,1:00,0.619,0.086,0,0
9431647,4/3/2003,2:00,0.51,0.082,0,0
9431647,4/3/2003,3:00,0.54,0.106,0,0
9431647,4/3/2003,4:00,0.829,0.095,0,0
9431647,4/3/2003,5:00,1.253,0.105,0,0
9431647,4/3/2003,6:00,1.649,0.113,0,0
9431647,4/3/2003,7:00,1.987,0.085,0,0
9431647,4/3/2003,8:00,2.148,0.109,0,0
9431647,4/3/2003,9:00,2.101,0.09,0,0
9431647,4/3/2003,10:00,1.818,0.068,0,0
9431647,4/3/2003,11:00,1.432,0.09,0,0
9431647,4/3/2003,12:00,0.918,0.086,0,0
9431647,4/3/2003,13:00,0.497,0.087,0,0
9431647,4/3/2003,14:00,0.271,0.091,0,0
9431647,4/3/2003,15:00,0.216,0,0,
9431647,4/3/2003,16:00,0.359,0,0,
9431647,4/3/2003,17:00,0.699,0.073,0,0
9431647,4/3/2003,18:00,1.104,0,1,0
9431647,4/3/2003,19:00,1.497,0,1,0
9431647,4/3/2003,20:00,1.827,0,0,
9431647,4/3/2003,21:00,1.901,0,0,
9431647,4/3/2003,22:00,1.809,0,0,
9431647,4/3/2003,23:00,1.543,0.111,0,0
9431647,4/4/2003,0:00,1.206,0.064,0,0
9431647,4/4/2003,1:00,0.932,0.095,0,0
9431647,4/4/2003,2:00,0.709,0.098,0,0
9431647,4/4/2003,3:00,0.717,0.062,0,0
9431647,4/4/2003,4:00,0.88,0.127,0,0
9431647,4/4/2003,5:00,1.222,0.125,0,0
9431647,4/4/2003,6:00,1.591,0.116,0,0
9431647,4/4/2003,7:00,1.924,0.102,0,0
9431647,4/4/2003,8:00,2.178,0.114,0,0
9431647,4/4/2003,9:00,2.227,0.076,0,0
9431647,4/4/2003,10:00,2.044,0.097,0,0
9431647,4/4/2003,11:00,1.686,0.098,0,0
9431647,4/4/2003,12:00,1.221,0.061,0,0
9431647,4/4/2003,13:00,0.74,0.068,0,0
9431647,4/4/2003,14:00,0.369,0.082,0,0
9431647,4/4/2003,15:00,0.184,0.075,0,0
9431647,4/4/2003,16:00,0.223,0.067,0,0
9431647,4/4/2003,17:00,0.45,0.061,0,0
9431647,4/4/2003,18:00,0.807,0.062,0,0
9431647,4/4/2003,19:00,1.206,0,1,0
9431647,4/4/2003,20:00,1.543,0,1,0
9431647,4/4/2003,21:00,1.763,0,0,
9431647,4/4/2003,22:00,1.756,0,0,
9431647,4/4/2003,23:00,1.614,0,0,
9431647,4/5/2003,0:00,1.352,0.068,0,0
9431647,4/5/2003,1:00,1.048,0.052,0,0
9431647,4/5/2003,2:00,0.793,0.073,0,0
9431647,4/5/2003,3:00,0.707,0.06,0,0
9431647,4/5/2003,4:00,0.816,0.072,0,0
9431647,4/5/2003,5:00,1.027,0.073,0,0
9431647,4/5/2003,6:00,1.359,0.067,0,0
9431647,4/5/2003,7:00,1.723,0.063,0,0
9431647,4/5/2003,8:00,1.946,0.081,0,0
9431647,4/5/2003,9:00,2.073,0.082,0,0
9431647,4/5/2003,10:00,1.985,0.07,0,0
9431647,4/5/2003,11:00,1.729,0.076,0,0
9431647,4/5/2003,12:00,1.323,0.068,0,0
9431647,4/5/2003,13:00,0.883,0.063,0,0
9431647,4/5/2003,14:00,0.464,0.067,0,0
9431647,4/5/2003,15:00,0.175,0.052,0,0
9431647,4/5/2003,16:00,0.076,0.057,0,0
9431647,4/5/2003,17:00,0.198,0.063,0,0
9431647,4/5/2003,18:00,0.474,0,0,
9431647,4/5/2003,19:00,0.824,0,0,
9431647,4/5/2003,20:00,1.22,0.072,0,0
9431647,4/5/2003,21:00,1.481,0.066,0,0
9431647,4/5/2003,22:00,1.629,0.078,0,0
9431647,4/5/2003,23:00,1.605,0.07,0,0
9431647,4/6/2003,0:00,1.455,0.066,0,0
9431647,4/6/2003,1:00,1.292,0.066,0,0
9431647,4/6/2003,2:00,1.096,0.056,0,0
9431647,4/6/2003,3:00,0.943,0.058,0,0
9431647,4/6/2003,4:00,0.925,0.096,0,0
9431647,4/6/2003,5:00,1.078,0.065,0,0
9431647,4/6/2003,6:00,1.331,0.059,0,0
9431647,4/6/2003,7:00,1.609,0.071,0,0
9431647,4/6/2003,8:00,1.894,0.062,0,0
9431647,4/6/2003,9:00,2.074,0.067,0,0
9431647,4/6/2003,10:00,2.082,0.084,0,0
9431647,4/6/2003,11:00,1.899,0.073,0,0
9431647,4/6/2003,12:00,1.566,0.066,0,0
9431647,4/6/2003,13:00,1.126,0.072,0,0
9431647,4/6/2003,14:00,0.697,0.06,0,0
9431647,4/6/2003,15:00,0.344,0.048,0,0
9431647,4/6/2003,16:00,0.125,0.049,0,0
9431647,4/6/2003,17:00,0.082,0.046,0,0
9431647,4/6/2003,18:00,0.253,0.056,0,0
9431647,4/6/2003,19:00,0.52,0.056,0,0
9431647,4/6/2003,20:00,0.879,0.065,0,0
9431647,4/6/2003,21:00,1.189,0,0,
9431647,4/6/2003,22:00,1.413,0,0,
9431647,4/6/2003,23:00,1.541,0.062,0,0
9431647,4/7/2003,0:00,1.497,0.079,0,0
9431647,4/7/2003,1:00,1.363,0.059,0,0
9431647,4/7/2003,2:00,1.187,0.069,0,0
9431647,4/7/2003,3:00,1.056,0.077,0,0
9431647,4/7/2003,4:00,1.005,0.057,0,0
9431647,4/7/2003,5:00,1.09,0.065,0,0
9431647,4/7/2003,6:00,1.266,0.074,0,0
9431647,4/7/2003,7:00,1.514,0.065,0,0
9431647,4/7/2003,8:00,1.735,0.059,0,0
9431647,4/7/2003,9:00,1.94,0.054,0,0
9431647,4/7/2003,10:00,2.026,0.057,0,0
9431647,4/7/2003,11:00,1.965,0.055,0,0
9431647,4/7/2003,12:00,1.729,0.047,0,0
9431647,4/7/2003,13:00,1.383,0.043,0,0
9431647,4/7/2003,14:00,0.98,0.048,0,0
9431647,4/7/2003,15:00,0.609,0.056,0,0
9431647,4/7/2003,16:00,0.311,0.044,0,0
9431647,4/7/2003,17:00,0.271,0,0,0
9431647,4/7/2003,18:00,0.284,0,0,0
9431647,4/7/2003,19:00,0.448,0,0,0
9431647,4/7/2003,20:00,0.716,0,0,0
9431647,4/7/2003,21:00,0.922,0,0,
9431647,4/7/2003,22:00,1.21,0,0,
9431647,4/7/2003,23:00,1.413,0,0,
9431647,4/8/2003,0:00,1.498,0.067,0,0
9431647,4/8/2003,1:00,1.469,0.068,0,0
9431647,4/8/2003,2:00,1.385,0.069,0,0
9431647,4/8/2003,3:00,1.274,0.051,0,0
9431647,4/8/2003,4:00,1.241,0.064,0,0
9431647,4/8/2003,5:00,1.216,0.058,0,0
9431647,4/8/2003,6:00,1.294,0.05,0,0
9431647,4/8/2003,7:00,1.453,0.066,0,0
9431647,4/8/2003,8:00,1.667,0.064,0,0
9431647,4/8/2003,9:00,1.854,0.066,0,0
9431647,4/8/2003,10:00,1.979,0.082,0,0
9431647,4/8/2003,11:00,2.023,0.086,0,0
9431647,4/8/2003,12:00,1.911,0.073,0,0
9431647,4/8/2003,13:00,1.708,0.09,0,0
9431647,4/8/2003,14:00,1.329,0.085,0,0
9431647,4/8/2003,15:00,0.955,0,1,0
9431647,4/8/2003,16:00,0.642,0,0,
9431647,4/8/2003,17:00,0.365,0,0,
9431647,4/8/2003,18:00,0.251,0,0,
9431647,4/8/2003,19:00,0.295,0.074,0,0
9431647,4/8/2003,20:00,0.452,0,1,0
9431647,4/8/2003,21:00,0.696,0,1,0
9431647,4/8/2003,22:00,0.969,0,0,
9431647,4/8/2003,23:00,1.227,0,0,
9431647,4/9/2003,0:00,1.417,0,0,
9431647,4/9/2003,1:00,1.513,0.152,0,0
9431647,4/9/2003,2:00,1.509,0.153,0,0
9431647,4/9/2003,3:00,1.465,0.139,0,0
9431647,4/9/2003,4:00,1.398,0.137,0,0
9431647,4/9/2003,5:00,1.32,0.132,0,0
9431647,4/9/2003,6:00,1.289,0.134,0,0
9431647,4/9/2003,7:00,1.407,0.096,0,0
9431647,4/9/2003,8:00,1.476,0.114,0,0
9431647,4/9/2003,9:00,1.673,0.119,0,0
9431647,4/9/2003,10:00,1.783,0.133,0,0
9431647,4/9/2003,11:00,1.897,0.119,0,0
9431647,4/9/2003,12:00,1.898,0.114,0,0
9431647,4/9/2003,13:00,1.785,0.113,0,0
9431647,4/9/2003,14:00,1.534,0.092,0,0
9431647,4/9/2003,15:00,1.237,0.109,0,0
9431647,4/9/2003,16:00,0.911,0.09,0,0
9431647,4/9/2003,17:00,0.616,0,0,
9431647,4/9/2003,18:00,0.353,0,0,
9431647,4/9/2003,19:00,0.254,0.077,0,0
9431647,4/9/2003,20:00,0.252,0,0,
9431647,4/9/2003,21:00,0.381,0,0,
9431647,4/9/2003,22:00,0.632,0,0,
9431647,4/9/2003,23:00,0.904,0.105,0,0
9431647,4/10/2003,0:00,1.158,0.081,0,0
9431647,4/10/2003,1:00,1.35,0.067,0,0
9431647,4/10/2003,2:00,1.468,0.07,0,0
9431647,4/10/2003,3:00,1.525,0.081,0,0
9431647,4/10/2003,4:00,1.484,0.088,0,0
9431647,4/10/2003,5:00,1.416,0.082,0,0
9431647,4/10/2003,6:00,1.376,0.087,0,0
9431647,4/10/2003,7:00,1.347,0.076,0,0
9431647,4/10/2003,8:00,1.392,0.094,0,0
9431647,4/10/2003,9:00,1.465,0.064,0,0
9431647,4/10/2003,10:00,1.626,0.085,0,0
9431647,4/10/2003,11:00,1.757,0.08,0,0
9431647,4/10/2003,12:00,1.873,0.083,0,0
9431647,4/10/2003,13:00,1.895,0.079,0,0
9431647,4/10/2003,14:00,1.821,0.081,0,0
9431647,4/10/2003,15:00,1.617,0.076,0,0
9431647,4/10/2003,16:00,1.351,0.074,0,0
9431647,4/10/2003,17:00,1.014,0.077,0,0
9431647,4/10/2003,18:00,0.67,0.069,0,0
9431647,4/10/2003,19:00,0.418,0.072,0,0
9431647,4/10/2003,20:00,0.268,0.052,0,0
9431647,4/10/2003,21:00,0.265,0.055,0,0
9431647,4/10/2003,22:00,0.378,0.048,0,0
9431647,4/10/2003,23:00,0.593,0.049,0,0
9431647,4/11/2003,0:00,0.894,0.06,0,0
9431647,4/11/2003,1:00,1.148,0.061,0,0
9431647,4/11/2003,2:00,1.422,0.084,0,0
9431647,4/11/2003,3:00,1.569,0.048,0,0
9431647,4/11/2003,4:00,1.637,0.055,0,0
9431647,4/11/2003,5:00,1.624,0.083,0,0
9431647,4/11/2003,6:00,1.516,0.07,0,0
9431647,4/11/2003,7:00,1.404,0.1,0,0
9431647,4/11/2003,8:00,1.34,0.07,0,0
9431647,4/11/2003,9:00,1.301,0.089,0,0
9431647,4/11/2003,10:00,1.373,0.102,0,0
9431647,4/11/2003,11:00,1.511,0.088,0,0
9431647,4/11/2003,12:00,1.665,0.097,0,0
9431647,4/11/2003,13:00,1.803,0.086,0,0
9431647,4/11/2003,14:00,1.881,0.096,0,0
9431647,4/11/2003,15:00,1.844,0.078,0,0
9431647,4/11/2003,16:00,1.639,0.088,0,0
9431647,4/11/2003,17:00,1.388,0,1,0
9431647,4/11/2003,18:00,1.056,0,1,0
9431647,4/11/2003,19:00,0.72,0,1,0
9431647,4/11/2003,20:00,0.442,0,0,
9431647,4/11/2003,21:00,0.262,0,0,
9431647,4/11/2003,22:00,0.244,0,0,
9431647,4/11/2003,23:00,0.372,0.109,0,0
9431647,4/12/2003,0:00,0.638,0.111,0,0
9431647,4/12/2003,1:00,0.973,0.107,0,0
9431647,4/12/2003,2:00,1.327,0.117,0,0
9431647,4/12/2003,3:00,1.625,0.116,0,0
9431647,4/12/2003,4:00,1.79,0.123,0,0
9431647,4/12/2003,5:00,1.838,0.145,0,0
9431647,4/12/2003,6:00,1.772,0,0,
9431647,4/12/2003,7:00,1.604,0.125,0,0
9431647,4/12/2003,8:00,1.431,0.139,0,0
9431647,4/12/2003,9:00,1.309,0.146,0,0
9431647,4/12/2003,10:00,1.275,0.125,0,0
9431647,4/12/2003,11:00,1.377,0.135,0,0
9431647,4/12/2003,12:00,1.505,0.125,0,0
9431647,4/12/2003,13:00,1.787,0.126,0,0
9431647,4/12/2003,14:00,1.932,0.124,0,0
9431647,4/12/2003,15:00,2.035,0.127,0,0
9431647,4/12/2003,16:00,2.078,0.152,0,0
9431647,4/12/2003,17:00,1.853,0.136,0,0
9431647,4/12/2003,18:00,1.609,0,0,
9431647,4/12/2003,19:00,1.203,0,0,
9431647,4/12/2003,20:00,0.85,0,0,
9431647,4/12/2003,21:00,0.523,0.111,0,0
9431647,4/12/2003,22:00,0.325,0.121,0,0
9431647,4/12/2003,23:00,0.354,0.141,0,0
9431647,4/13/2003,0:00,0.489,0.124,0,0
9431647,4/13/2003,1:00,0.826,0.109,0,0
9431647,4/13/2003,2:00,1.209,0.109,0,0
9431647,4/13/2003,3:00,1.612,0.12,0,0
9431647,4/13/2003,4:00,1.914,0.14,0,0
9431647,4/13/2003,5:00,2.064,0.128,0,0
9431647,4/13/2003,6:00,2.038,0.11,0,0
9431647,4/13/2003,7:00,1.87,0.123,0,0
9431647,4/13/2003,8:00,1.651,0.098,0,0
9431647,4/13/2003,9:00,1.349,0.097,0,0
9431647,4/13/2003,10:00,1.197,0.131,0,0
9431647,4/13/2003,11:00,1.106,0.095,0,0
9431647,4/13/2003,12:00,1.217,0.128,0,0
9431647,4/13/2003,13:00,1.415,0.128,0,0
9431647,4/13/2003,14:00,1.744,0.105,0,0
9431647,4/13/2003,15:00,1.995,0.087,0,0
9431647,4/13/2003,16:00,2.182,0.104,0,0
9431647,4/13/2003,17:00,2.186,0.088,0,0
9431647,4/13/2003,18:00,2,0,0,
9431647,4/13/2003,19:00,1.658,0.122,0,0
9431647,4/13/2003,20:00,1.209,0,0,
9431647,4/13/2003,21:00,0.745,0,0,
9431647,4/13/2003,22:00,0.415,0,0,
9431647,4/13/2003,23:00,0.193,0.058,0,0
9431647,4/14/2003,0:00,0.231,0.061,0,0
9431647,4/14/2003,1:00,0.503,0.072,0,0
9431647,4/14/2003,2:00,0.88,0.064,0,0
9431647,4/14/2003,3:00,1.395,0.08,0,0
9431647,4/14/2003,4:00,1.825,0.082,0,0
9431647,4/14/2003,5:00,2.083,0.096,0,0
9431647,4/14/2003,6:00,2.161,0.101,0,0
9431647,4/14/2003,7:00,2.03,0.095,0,0
9431647,4/14/2003,8:00,1.702,0.074,0,0
9431647,4/14/2003,9:00,1.341,0.07,0,0
9431647,4/14/2003,10:00,0.968,0.077,0,0
9431647,4/14/2003,11:00,0.762,0.075,0,0
9431647,4/14/2003,12:00,0.699,0.063,0,0
9431647,4/14/2003,13:00,0.889,0.075,0,0
9431647,4/14/2003,14:00,1.185,0.067,0,0
9431647,4/14/2003,15:00,1.601,0.072,0,0
9431647,4/14/2003,16:00,1.963,0,0,
9431647,4/14/2003,17:00,2.172,0.084,0,0
9431647,4/14/2003,18:00,2.206,0,1,0
9431647,4/14/2003,19:00,1.99,0,0,
9431647,4/14/2003,20:00,1.586,0,0,
9431647,4/14/2003,21:00,1.143,0,0,
9431647,4/14/2003,22:00,0.655,0.063,0,0
9431647,4/14/2003,23:00,0.282,0.051,0,0
9431647,4/15/2003,0:00,0.173,0.057,0,0
9431647,4/15/2003,1:00,0.301,0.06,0,0
9431647,4/15/2003,2:00,0.634,0.086,0,0
9431647,4/15/2003,3:00,1.148,0.083,0,0
9431647,4/15/2003,4:00,1.683,0.069,0,0
9431647,4/15/2003,5:00,2.094,0.099,0,0
9431647,4/15/2003,6:00,2.327,0.074,0,0
9431647,4/15/2003,7:00,2.295,0.069,0,0
9431647,4/15/2003,8:00,1.997,0.059,0,0
9431647,4/15/2003,9:00,1.573,0.08,0,0
9431647,4/15/2003,10:00,1.062,0.065,0,0
9431647,4/15/2003,11:00,0.641,0.061,0,0
9431647,4/15/2003,12:00,0.429,0.05,0,0
9431647,4/15/2003,13:00,0.424,0.038,0,0
9431647,4/15/2003,14:00,0.685,0.059,0,0
9431647,4/15/2003,15:00,1.086,0.055,0,0
9431647,4/15/2003,16:00,1.586,0.07,0,0
9431647,4/15/2003,17:00,1.983,0.064,0,0
9431647,4/15/2003,18:00,2.167,0,0,0
9431647,4/15/2003,19:00,2.172,0,0,0
9431647,4/15/2003,20:00,2.005,0,0,
9431647,4/15/2003,21:00,1.537,0,0,
9431647,4/15/2003,22:00,1.012,0,0,
9431647,4/15/2003,23:00,0.532,0.065,0,0
9431647,4/16/2003,0:00,0.252,0.048,0,0
9431647,4/16/2003,1:00,0.193,0.037,0,0
9431647,4/16/2003,2:00,0.422,0.046,0,0
9431647,4/16/2003,3:00,0.888,0.073,0,0
9431647,4/16/2003,4:00,1.462,0.049,0,0
9431647,4/16/2003,5:00,1.974,0.069,0,0
9431647,4/16/2003,6:00,2.366,0.067,0,0
9431647,4/16/2003,7:00,2.482,0.073,0,0
9431647,4/16/2003,8:00,2.314,0.06,0,0
9431647,4/16/2003,9:00,1.877,0.057,0,0
9431647,4/16/2003,10:00,1.312,0.068,0,0
9431647,4/16/2003,11:00,0.738,0.087,0,0
9431647,4/16/2003,12:00,0.28,0.051,0,0
9431647,4/16/2003,13:00,0.067,0.04,0,0
9431647,4/16/2003,14:00,0.142,0.066,0,0
9431647,4/16/2003,15:00,0.489,0.058,0,0
9431647,4/16/2003,16:00,1.006,0.068,0,0
9431647,4/16/2003,17:00,1.473,0,0,0
9431647,4/16/2003,18:00,1.937,0,0,0
9431647,4/16/2003,19:00,2.217,0,0,
9431647,4/16/2003,20:00,2.225,0,0,
9431647,4/16/2003,21:00,1.951,0,0,
9431647,4/16/2003,22:00,1.483,0.063,0,0
9431647,4/16/2003,23:00,0.979,0.072,0,0
9431647,4/17/2003,0:00,0.567,0.077,0,0
